ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Ethics,,FOUND
2,Data-Driven Ethics,1|6|9,FOUND
3,Traditional Moral Philosophy,1,FOUND
4,Ethical Reasoning,1|7,FOUND
5,Evidence-Based Ethics,2|6,FOUND
6,Scientific Method,,FOUND
7,Critical Thinking,,FOUND
8,Analytical Writing,7,FOUND
9,Data Literacy,,FOUND
10,Statistical Thinking,9,FOUND
11,Quantitative Analysis,10,FOUND
12,Qualitative Analysis,7|9,FOUND
13,Research Methods,6|11|12,FOUND
14,Primary Sources,13,FOUND
15,Secondary Sources,13,FOUND
16,Academic Sources,14|15,FOUND
17,Government Data Sources,14|15,FOUND
18,NGO Data Sources,14|15,FOUND
19,Data Credibility,16|17|18,FOUND
20,Source Triangulation,19,FOUND
21,Objectivity,7,FOUND
22,Subjectivity,7|21,FOUND
23,Bias Recognition,21|22,FOUND
24,Cognitive Biases,23,FOUND
25,Confirmation Bias,24,FOUND
26,Harm Definition,1|2,HARM
27,Harm Quantification,26|11,HARM
28,Mortality Rate,27|10,HARM
29,Morbidity Rate,27|10,HARM
30,DALYs,28|29|32|33,HARM
31,QALYs,30,HARM
32,Years of Life Lost,28,HARM
33,Years Lived with Disability,29|34,HARM
34,Disability Weights,29,HARM
35,Social Cost Accounting,27|36,HARM
36,Economic Externalities,27,HARM
37,Negative Externalities,36,HARM
38,Positive Externalities,36,HARM
39,Life-Cycle Analysis,27|40,HARM
40,Cradle-to-Grave Analysis,27,HARM
41,Environmental Impact,27|39,HARM
42,Carbon Footprint,41,HARM
43,Water Footprint,41,HARM
44,Health Impact Assessment,27|30,HARM
45,Social Impact Assessment,27|35,HARM
46,Cost-Benefit Analysis,11|27,HARM
47,Risk Assessment,10|27,HARM
48,Harm Per Revenue,27|50,HARM
49,Per Capita Impact,27|50,HARM
50,Normalized Metrics,11|27,HARM
51,Industry Comparisons,48|49,HARM
52,Harm Scorecards,27|50|53,HARM
53,Multi-Dimensional Harm,27|41|44|45,HARM
54,Cumulative Impact,53,HARM
55,Intergenerational Harm,54,HARM
56,Ethical Data Collection,13|57,DATA
57,Informed Consent,1|21,DATA
58,Data Privacy,57,DATA
59,Anonymization,58,DATA
60,Data Aggregation,59|11,DATA
61,Sampling Methods,13|10,DATA
62,Random Sampling,61,DATA
63,Stratified Sampling,61,DATA
64,Selection Bias,23|61,DATA
65,Reporting Bias,23|67,DATA
66,Publication Bias,23|69,DATA
67,Industry Self-Reporting,17|23,DATA
68,Independent Verification,20|69,DATA
69,Peer Review,16,DATA
70,Meta-Analysis,71|11,DATA
71,Systematic Review,13|16,DATA
72,Data Quality Assessment,19|74,DATA
73,Missing Data,11,DATA
74,Data Cleaning,11|73,DATA
